split,accuracy,precision,recall,f1,auc
train,0.999983225135457,1.0,0.9999664508336967,0.999983225135457,1.0
validation,0.9739568482083452,0.9890153001176932,0.9585551330798479,0.9735470167986098,0.9865161389173364
